,last_reported,station_id,Available bikes,Mechanical bikes,Ebike,weekday,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
27,2020-01-30,1,21.354166666666668,18.475694444444443,2.8784722222222223,Thursday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
28,2020-01-31,1,18.689895470383274,18.2404181184669,0.44947735191637633,Friday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
29,2020-01-01,2,9.100694444444445,8.73611111111111,0.3645833333333333,Wednesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
30,2020-01-02,2,12.590277777777779,12.51388888888889,0.0763888888888889,Thursday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
31,2020-01-03,2,13.5,13.20486111111111,0.2951388888888889,Friday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
32,2020-01-04,2,9.152777777777779,8.590277777777779,0.5625,Saturday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
33,2020-01-05,2,4.347222222222222,4.177083333333333,0.1701388888888889,Sunday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
34,2020-01-06,2,8.243055555555555,7.972222222222222,0.2708333333333333,Monday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
35,2020-01-07,2,3.9131944444444446,3.486111111111111,0.4270833333333333,Tuesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
36,2020-01-08,2,6.607638888888889,6.506944444444445,0.10069444444444445,Wednesday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
37,2020-01-09,2,7.739583333333333,7.440972222222222,0.2986111111111111,Thursday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
38,2020-01-10,2,11.65625,11.222222222222221,0.4340277777777778,Friday,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.395487700000004,2.1771985000000003,17,"C/ ROGER DE FLOR, 126",8013,27,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample,Barcelona
